Run,A,B,C,treatment,H1,H2,H,R1,R2,R,G
1,1,-1,-1,a,6.1,6,6.05,13.4,13.2,13.3,1
2,-1,1,-1,b,0,0,0,1.4,1.5,1.45,1
3,-1,1,-1,b,0,0,0,2.1,2,2.05,1
4,1,-1,1,ac,1.8,1.7,1.75,4.3,4.1,4.2,1
5,1,-1,-1,a,4.9,5.2,5.05,10.5,10.4,10.45,1
6,-1,-1,-1,1,0,0,0,3,2.6,2.8,1
7,-1,-1,-1,1,0,0,0,2.1,2.2,2.15,1
8,1,-1,-1,a,0,0,0,2.2,2.1,2.15,1
9,1,1,-1,ab,1.7,1.7,1.7,6.3,6.3,6.3,1
10,1,1,1,abc,0,0,0,0,0,0,0
11,1,1,-1,ab,7.4,7.1,7.25,16.7,16.9,16.8,1
12,-1,-1,-1,1,0,0,0,0,0,0,0
13,1,-1,1,ac,2.5,2.4,2.45,3.7,3.5,3.6,1
14,1,1,1,abc,3.1,3.1,3.1,4.1,4.3,4.2,1
15,-1,1,-1,b,0,0,0,0,0,0,0
16,-1,-1,1,c,0,0,0,0,0,0,0
17,-1,-1,-1,1,0,0,0,0,0,0,0
18,-1,-1,1,c,0,0,0,3.7,3.5,3.6,1
19,-1,1,1,bc,0,0,0,0,0,0,0
20,-1,-1,1,c,0,0,0,0,0,0,0
21,1,1,1,abc,2.57,2.7,2.635,10,9.8,9.9,1
22,-1,-1,1,c,0,0,0,3.8,3.9,3.85,1
23,-1,-1,1,c,0,0,0,1.8,1.6,1.7,1
24,1,1,1,abc,0.3,0.1,0.2,5.7,5.5,5.6,1
25,1,1,-1,ab,7.3,7.3,7.3,14.9,14.7,14.8,1
26,-1,1,1,bc,4.2,4.1,4.15,11.2,11.3,11.25,1
27,-1,-1,1,c,0,0,0,0,0,0,0
28,1,-1,1,ac,0,0,0,1.9,2,1.95,1
29,1,1,1,abc,0,0,0,0,0,0,0
30,-1,1,-1,b,0,0,0,0,0,0,0
31,1,-1,-1,a,11.5,11.8,11.65,19.2,19.2,19.2,1
32,1,1,-1,ab,2.5,2.6,2.55,9,8.5,8.75,1
33,-1,1,1,bc,1.5,1.8,1.65,5.1,5.1,5.1,1
34,1,1,-1,ab,1.75,2,1.875,5.5,5,5.25,1
35,1,-1,-1,a,8,8.1,8.05,17.3,17,17.15,1
36,-1,-1,-1,1,10,9.3,9.65,19.1,19.1,19.1,1
37,1,-1,1,ac,4.5,4.2,4.35,9.6,9.3,9.45,1
38,1,-1,-1,a,4.5,4.5,4.5,9.2,9.3,9.25,1
39,-1,1,-1,b,0,0,0,0,0,0,0
40,-1,-1,-1,1,3.25,3,3.125,6.8,6.9,6.85,1
41,1,1,-1,ab,4.5,4.6,4.55,9.1,10.5,9.8,1
42,1,1,1,abc,0,0,0,0,0,0,0
43,-1,1,1,bc,0,0,0,0,0,0,0
44,1,-1,1,ac,1.4,1.4,1.4,3.6,3.8,3.7,1
45,1,-1,1,ac,0,0,0,0,0,0,0
46,-1,1,1,bc,0,0,0,0,0,0,0
47,-1,1,1,bc,0,0,0,0,0,0,0
48,-1,1,-1,b,0,0,0,0.1,0.1,0.1,1
