Date,Day,HighTemp ,LowTemp,Precipitation,QueensboroBridge,Total
10/1,Sunday,66.9,50.0,0.00,4092,15975
10/2,Monday,72.0,52.0,0.00,5722,23784
10/3,Tuesday,70.0,57.0,0.00,6363,25280
10/4,Wednesday,75.0,55.9,0.00,6238,25477
10/5,Thursday,82.0,64.9,0.00,5998,23942
10/6,Friday,81.0,69.1,0.00,5675,22197
10/7,Saturday,80.1,66.0,0.00,4576,18218
10/8,Sunday,77.0,72.0,0.22,2327,9174
10/9,Monday,75.9,72.0,0.26,2642,8940
10/10,Tuesday,80.1,66.0,0.00,6421,26050
10/11,Wednesday,75.0,64.9,0.06,5559,20657
10/12,Thursday,63.0,55.9,0.07,4603,18140
10/13,Friday,64.9,52.0,0.00,5240,20554
10/14,Saturday,71.1,62.1,0.08,3734,14712
10/15,Sunday,72.0,66.0,0.05,3793,15190
10/16,Monday,60.1,52.0,0.01,5045,19939
10/17,Tuesday,57.9,43.0,0.00,5249,20885
10/18,Wednesday,71.1,50.0,0.00,5753,23023
10/19,Thursday,70.0,55.9,0.00,6167,24034
10/20,Friday,73.0,57.9,0.00,5814,22484
10/21,Saturday,78.1,57.0,0.00,4940,18479
10/22,Sunday,75.9,57.0,0.00,4474,17513
10/23,Monday,73.9,64.0,0.00,5975,22931
10/24,Tuesday,73.0,66.9,0.20,2682,9501
10/25,Wednesday,64.9,57.9,0.00,5856,23237
10/26,Thursday,57.0,53.1,0.00,5011,18751
10/27,Friday,62.1,48.0,0.00,5181,20391
10/28,Saturday,68.0,55.9,0.00,4069,15938
10/29,Sunday,64.9,61.0,3.03,965,2835
10/30,Monday,55.0,46.0,0.25,2924,10865
10/31,Tuesday,54.0,44.0,0.00,4883,19101
